S 1015-G20Y,#c6dac0
S 1015-G40Y,#d2dbb9
S 1015-G60Y,#d9ddb4
S 1015-G80Y,#e3deb1
S 1015-G90Y,#e8ddae
S 1015-R,#e9c3c0
S 1015-R10B,#e5c4c6
S 1015-R20B,#e6c7ce
S 1015-R40B,#dec9d8
S 1015-R60B,#d2ccdf
S 1015-R80B,#c3d1e0
S 1015-R90B,#bfd2e0
S 1015-Y,#ebdbae
S 1015-Y10R,#efdaae
S 1015-Y20R,#f0d6a9
S 1015-Y30R,#f2d1a9
S 1015-Y40R,#f2cdaa
S 1015-Y50R,#f1c9ad
S 1015-Y60R,#f0c9b3
S 1015-Y70R,#eec6b4
S 1015-Y80R,#eec5ba
S 1015-Y90R,#edc5bd
S 1020-B,#adcfdc
S 1020-B10G,#a2ced8
S 1020-B30G,#a5d2d5
S 1020-B40G,#a9d4d6
S 1020-B50G,#a8d5d2
S 1020-B60G,#acd8d3
S 1020-B70G,#a9d9cf
S 1020-B90G,#afd8c5
S 1020-G,#afd8c0
S 1020-G10Y,#b9dabd
S 1020-G20Y,#bdd9b7
S 1020-G30Y,#c2d8b3
S 1020-G40Y,#c8d7ac
S 1020-G50Y,#d4dfae
S 1020-G60Y,#d7dba8
S 1020-G70Y,#dcdda9
S 1020-G80Y,#e1dca3
S 1020-G90Y,#e9dda6
S 1020-R,#ecbab9
S 1020-R10B,#e7bbbf
S 1020-R20B,#e5bbc6
S 1020-R30B,#e2bcca
S 1020-R40B,#dabfd1
S 1020-R50B,#d3c1d7
S 1020-R60B,#ccc6df
S 1020-R70B,#bdc7e0
S 1020-R80B,#b7c9dc
S 1020-R90B,#b2cee0
S 1020-Y,#ead8a1
S 1020-Y10R,#e8d29e
S 1020-Y20R,#efcf9c
S 1020-Y30R,#f3ca9a
S 1020-Y40R,#f2c299
S 1020-Y50R,#f4c19f
S 1020-Y60R,#eebba1
S 1020-Y70R,#f0bea9
S 1020-Y80R,#edbaac
S 1020-Y90R,#edbeb6
S 1030-B,#90c4d9
S 1030-B10G,#85c6d5
S 1030-B30G,#83c7cc
S 1030-B40G,#88cdce
S 1030-B50G,#8acdca
S 1030-B60G,#8cd1c9
S 1030-B70G,#91d3c8
S 1030-B90G,#95d4bb
S 1030-G,#99d3b2
S 1030-G10Y,#a2d2a8
S 1030-G20Y,#a8d1a3
S 1030-G30Y,#afd09b
S 1030-G40Y,#bfd399
S 1030-G50Y,#c8d592
S 1030-G60Y,#d0d68f
S 1030-G70Y,#d7d88e
S 1030-G80Y,#e0d98c
S 1030-G90Y,#e6d78b
S 1030-R,#eda9ab
S 1030-R10B,#e9aab2
S 1030-R20B,#e3a9b7
S 1030-R30B,#e2acc3
S 1030-R40B,#dbaece
S 1030-R50B,#ceb3d3
S 1030-R60B,#bfb7de
S 1030-R70B,#b0bbdf
S 1030-R80B,#a6bee1
S 1030-R90B,#9abeda
S 1030-Y,#e6d086
S 1030-Y10R,#f0cc86
S 1030-Y20R,#f6c988
S 1030-Y30R,#f7c186
S 1030-Y40R,#f6b986
S 1030-Y50R,#fcb68c
S 1030-Y60R,#f4b18f
S 1030-Y70R,#f4ac92
S 1030-Y80R,#eea696
S 1030-Y90R,#eca79f
S 1040-B,#6db9d6
S 1040-B10G,#64bed3
S 1040-B20G,#6bc4d3
S 1040-B30G,#63c2cb
S 1040-B40G,#5bc3c7
S 1040-B50G,#60c7c4
S 1040-B60G,#64cac1
S 1040-B70G,#63cabe
S 1040-B80G,#70cfba
S 1040-B90G,#74cfb2
S 1040-G,#7acca6
S 1040-G10Y,#88ce9c
S 1040-G20Y,#94cc8f
S 1040-G30Y,#a3d08a
S 1040-G40Y,#b4cc81
S 1040-G50Y,#c0d17d
S 1040-G60Y,#c8d277
S 1040-G70Y,#d4d372
S 1040-G80Y,#ded773
S 1040-G90Y,#e5d573
S 1040-R,#ed9599
S 1040-R10B,#e2919c
S 1040-R20B,#e995ad
S 1040-R30B,#df94b8
S 1040-R40B,#d79fca
S 1040-R50B,#caa3d7
S 1040-R60B,#b7a6dd
S 1040-R70B,#9daadf
S 1040-R80B,#8fb1e0
S 1040-R90B,#7fb2d9
S 1040-Y,#f1d474
S 1040-Y10R,#f7ca6e
S 1040-Y20R,#f8c16d
S 1040-Y30R,#fdb76f
S 1040-Y40R,#f4aa6f
S 1040-Y50R,#fba673
S 1040-Y60R,#f8a37c
S 1040-Y70R,#f2987c
S 1040-Y80R,#f49786
S 1040-Y90R,#f1988f
S 1050-B,#47add3
S 1050-B10G,#29b3d2
S 1050-B20G,#18b7cc
S 1050-B30G,#20bbc7
S 1050-B40G,#15bfc4
S 1050-B50G,#15bfbd
S 1050-B60G,#15c3ba
S 1050-B70G,#1ac6b5
S 1050-B80G,#33c6ae
S 1050-B90G,#46c5a3
S 1050-G,#55c496
S 1050-G10Y,#72c888
S 1050-G20Y,#84c67d
S 1050-G30Y,#96c975
S 1050-G40Y,#a6c667
S 1050-G50Y,#b8cc62
